Timepoint,Batch,Animal ,Eartag ,Uplo,Bafr,Pen,Corridor,Diet,Duration,Type ,Bilirubin_1,Cortisol_1,Haptoglobin,Titer_IgG,Titer_IgM,wbc ,neutro1,lympho1,mono1,eo1,baso1,neutro2,lympho2,mono2,eo2,baso2,CD8+,CD8+ perf+,NK+,NK+ perf+,CD4+,CD4+ perf+,gamma delta+,gamma delta+ perf+,CD14+ large,CD21+ large
T0,2,99,9797,low,front,63,8,M,18,C,13.48,4.57,0.26,5.3,5.8,7.96,2.77,3.46,1.43,0.21,0.10,34.7,43.4,17.95,2.65,1.3,8.5,1.35,17.8,2.05,18.4,0.038,29.9,0.12,43.9,12.5
T0,2,100,40277,low,front,63,8,M,18,C,8.13,8.00,0.28,5.0,5.6,11.68,5.65,3.17,2.32,0.42,0.13,48.4,27.1,19.85,3.6,1.05,8.12,0.69,1.98,1.21,17.5,1.31,46.6,0.99,65.8,2.55
T0,2,101,4797,low,back,60,8,E,18,C,22.58,11.52,0.56,0.4,5.9,12.35,5.84,2.48,1.94,1.94,0.15,47.25,20.1,15.75,15.7,1.2,6.92,0.61,8.39,1.72,27,0.094,41.6,0.12,60.9,2.92
T0,2,102,50384,low,back,60,8,E,18,C,8.45,20.76,0.69,5.9,4.0,6.44,2.05,2.56,1.58,0.18,0.09,31.7,39.7,24.45,2.8,1.35,17.9,1.06,2.13,1.77,44.6,0.28,5.44,0,68.5,4.58
T0,2,103,73955,low,back,59,8,E,18,U,9.52,22.02,0.21,2.6,5.9,5.20,1.41,2.72,0.91,0.09,0.09,27,52.2,17.4,1.75,1.65,6.87,0.37,8.58,0.67,11.5,0.05,54,0.25,48.4,3.94
T0,2,104,43506,low,back,59,8,E,18,U,11.02,6.97,0.70,1.9,5.7,5.73,3.24,1.42,0.48,0.55,0.05,56.65,24.75,8.25,9.55,0.8,3.54,3.31,8.44,1.21,30.1,0.32,48,0.27,35.5,1.31
T0,2,105,27535,low,front,55,7,M,18,C,31.14,1.27,0.21,5.1,4.0,8.40,2.75,4.10,1.24,0.18,0.15,32.7,48.8,14.7,2.05,1.75,4.92,0.84,5.82,2.19,17.6,0.051,44.3,0.088,35.4,9.46
T0,2,106,64365,low,front,55,7,M,18,C,6.63,6.47,0.24,4.9,2.9,6.96,3.03,3.07,0.67,0.11,0.10,43.5,44.1,9.55,1.5,1.35,7.01,1.07,5.2,1.11,17.6,0.16,58.4,0.34,26.6,3.75
T0,2,107,12646,low,back,53,7,E,18,C,18.73,11.69,0.17,6.2,6.6,7.43,3.05,3.48,0.59,0.19,0.13,40.95,46.8,7.95,2.55,1.75,7.26,0.79,2.72,1.62,15,0.14,60.4,0.2,22.1,7.14
T0,2,108,84767,low,back,53,7,E,18,C,13.70,4.77,0.29,3.1,5.5,7.05,,,,,,,,,,2.1,7.26,0.32,5.15,1.49,24.1,0.089,41,0.035,63.7,5.58
T0,2,109,77719,low,back,52,7,E,18,U,7.49,10.76,0.31,5.7,4.0,8.10,3.26,3.00,1.52,0.18,0.15,40.2,37,18.75,2.25,1.8,8.3,0.82,13.9,1.98,8.17,0.12,40.5,0.091,51.8,11
T0,2,110,15715,low,back,52,7,E,18,U,11.66,3.09,0.14,4.1,5.4,9.28,1.99,5.61,1.34,0.16,0.18,,,,,,12.6,2.53,4.49,1.31,18.3,0.21,41.9,0.2,31.3,11.7
T0,2,111,4789,low,front,50,7,M,18,U,9.31,5.74,0.21,5.7,5.5,7.12,1.62,3.97,1.29,0.07,0.18,22.7,55.8,18.1,0.95,2.45,9.69,1.14,3.24,1.34,16.4,0.27,57.4,0.31,39.3,2.93
T0,2,112,20478,low,front,50,7,M,18,U,9.84,6.39,0.22,4.5,3.6,9.91,4.25,3.94,1.10,0.35,0.27,42.85,39.75,11.1,3.55,2.75,3.2,0.31,7.46,1.78,11.1,0.21,63.2,0.54,41.4,2.56
T0,2,113,40907,low,front,48,6,M,18,C,7.28,4.98,2.44,7.0,4.6,12.35,4.62,5.32,1.88,0.25,0.29,37.45,43,15.2,2,2.35,10.6,0.68,2.73,1.52,23.3,1.14,50.6,0.94,46.5,4.13
T0,2,114,10298,low,front,48,6,M,18,C,18.30,2.53,0.18,4.7,9.9,7.13,2.56,3.11,0.99,0.10,0.38,35.8,43.6,13.9,1.4,5.3,6.99,2.26,13.4,1.37,14.9,0.11,34.4,0.047,33.8,17.3
T0,2,115,15888,low,front,43,6,M,18,U,15.52,17.10,0.49,4.8,7.4,17.30,11.41,3.44,1.16,1.12,0.18,66,19.85,6.7,6.45,1,11.2,3.75,14.5,2.74,17.1,0.27,46.5,0.45,28.8,1.72
T0,2,116,19052,low,front,43,6,M,18,U,5.78,6.25,0.26,5.8,6.0,5.16,1.68,1.95,1.30,0.14,0.11,32.6,37.7,25.1,2.6,2,4.99,0.32,7.58,1.11,19.3,0.16,35.7,0.085,45.6,14.4
T0,2,117,9093,low,back,42,6,E,18,C,12.95,26.65,0.22,3.7,5.9,7.27,3.19,2.09,0.65,1.14,0.21,43.85,28.8,8.95,15.65,2.75,5.37,2.12,5.34,2.2,15.2,0.081,60,0.11,31.8,4.73
T0,2,118,907,low,back,42,6,E,18,C,27.71,12.85,0.20,5.3,3.7,8.35,3.91,3.27,0.79,0.18,0.21,46.8,39.1,9.45,2.15,2.5,7.85,1.42,5.45,2,15.8,0.25,52.1,0.44,21.7,10.2
T0,2,119,24437,low,back,41,6,E,18,U,6.53,5.50,0.18,5.1,8.8,5.40,1.10,3.19,0.83,0.14,0.16,20.25,59,15.3,2.6,2.85,9.92,1.31,5.92,1.51,19.4,0.21,42.5,0.18,30.4,11.7
T0,2,120,69466,low,back,41,6,E,18,U,7.60,11.72,0.21,5.6,6.2,6.88,2.38,3.41,0.91,0.10,0.08,34.5,49.6,13.2,1.5,1.2,9.21,0.57,3.96,0.36,22.6,0.13,41.6,0.095,41.6,11.3
T0,2,121,52276,low,back,37,5,E,18,U,11.13,13.89,0.68,3.7,5.1,13.94,6.30,2.93,2.16,2.35,0.21,45.1,20.95,15.5,16.95,1.5,6.3,1.58,14.7,1.88,22.6,0.37,29.6,0.18,56.9,3.15
T0,2,122,94563,low,back,37,5,E,18,U,7.17,2.69,0.31,6.6,3.5,6.31,1.47,3.16,1.36,0.19,0.14,,,,,,15.3,0.27,3.21,1.12,25.6,0.18,30.4,0.18,55,7.96
T0,2,123,55856,low,front,36,5,M,18,U,5.89,3.50,0.16,6.0,4.0,7.96,2.70,4.01,0.92,0.24,0.11,33.9,50.3,11.55,2.95,1.3,7.28,0.3,2.16,1.36,16.3,0.061,59.4,0.34,30.1,6.51
T0,2,124,64694,low,front,36,5,M,18,U,20.01,1.02,0.23,3.8,3.7,8.48,3.38,3.44,1.45,0.12,0.10,39.8,40.55,17.1,1.35,1.2,15.3,2.73,12.5,1.92,43.8,0.22,12,0.12,50.3,3.63
T0,2,125,54404,low,front,35,5,M,18,C,8.88,5.13,0.25,4.9,4.0,5.61,1.53,2.52,1.05,0.34,0.18,27.2,44.95,18.7,6,3.15,5.29,0.8,4.83,2.88,26.5,0.07,40.2,0.26,58.8,3.95
T0,2,126,366,low,front,35,5,M,18,C,32.64,7.99,0.24,4.9,5.4,8.22,3.87,2.73,1.19,0.25,0.19,47.1,33.15,14.45,3.05,2.25,13.3,0.91,17.1,2.11,21.6,0.089,30.2,0.077,47.9,4.63
