lizard_ID,species,start_date,initial_mass,start_crickets,initial_svl,initial_tl,trial1_mass,trial1_date,crickets_left1,crickets_eaten1,trial2_mass,trial2_date,crickets_left2,crickets_eaten2,trial3_mass,trial3_date,crickets_left3,crickets_eaten3,final_mass,final_svl,final_tl,clutch,egg_date,hatch_date,sex,yolk_trt,temp_trt,hatch_mass,hatch_svl,hatch_tl,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,extracted_yolk,dev_time
LG139_20,guichenoti,16/12/20,0.231,30,21.385,35.628,0.116,18/12/20,4,26,0.194,20/12/20,11,19,0.266,22/12/20,11,19,0.351,24.332,NA,CL040_20,2/11/20,4/12/20,NA,C,28,0.178,20.715,30.688,0.194,9.6,5.86,0.194,0,32
LG141_20,guichenoti,4/1/21,0.204,30,21.229,32.034,0.167,6/1/21,10,20,0.179,8/1/21,11,19,0.18,10/1/21,8,22,0.291,22.467,35.306,CL040_20,2/11/20,24/12/20,NA,A,23,0.166,20.707,29.599,0.188,9.72,5.91,0.169,0.019,52
LG142_20,guichenoti,4/1/21,0.216,30,21.763,28.14,0.143,6/1/21,8,22,0.167,8/1/21,11,19,0.281,10/1/21,16,14,0.289,20.757,33.338,CL041_20,2/11/20,26/12/20,NA,A,23,0.152,20.782,25.382,0.173,9.43,5.66,0.152,0.021,54
LG143_20,guichenoti,4/1/21,0.194,30,21.055,28.003,0.147,6/1/21,11,19,0.164,8/1/21,12,18,0.249,10/1/21,14,16,0.277,22.225,30.019,CL041_20,2/11/20,27/12/20,NA,C,23,0.166,21.126,26.692,0.177,9.06,5.89,0.177,0,55
LG144_20,guichenoti,16/12/20,0.208,30,20.069,29.799,0.139,18/12/20,2,28,0.219,20/12/20,10,20,0.204,22/12/20,12,18,0.326,22.928,33.415,CL042_20,2/11/20,3/12/20,NA,A,28,0.126,19.123,25.274,0.185,10.11,5.72,0.156,0.029,31
LG145_20,guichenoti,16/12/20,0.168,30,19.433,27.459,0.122,18/12/20,9,21,0.214,20/12/20,11,19,0.261,22/12/20,14,16,0.264,21.237,30.943,CL043_20,3/11/20,6/12/20,NA,C,28,0.13,18.787,23.958,0.142,9.17,5.21,0.142,0,33
LG147_20,guichenoti,13/1/21,0.257,30,21.961,27.56,0.184,15/1/21,11,19,0.124,17/1/21,8,22,0.137,19/1/21,13,17,0.312,22.326,30.684,CL044_20,4/11/20,29/12/20,NA,A,23,0.163,19.648,25.153,0.195,9.52,6.16,0.166,0.029,55
LG148_20,guichenoti,16/12/20,0.202,30,21.052,29.127,0.123,18/12/20,10,20,0.199,20/12/20,10,20,0.279,22/12/20,15,15,0.278,22.956,30.757,CL044_20,4/11/20,6/12/20,NA,A,28,0.144,19.877,24.898,0.187,8.65,6.31,0.155,0.032,32
LG149_20,guichenoti,21/12/20,0.232,30,21.777,27.502,0.212,23/12/20,12,18,0.243,25/12/20,18,12,0.258,27/12/20,18,12,0.296,23.32,28.47,CL044_20,4/11/20,7/12/20,NA,C,28,0.154,20.722,24.533,0.186,8.75,6.16,0.186,0,33
LG150_20,guichenoti,13/1/21,0.211,30,20.843,28.131,0.164,15/1/21,15,15,0.133,17/1/21,8,22,0.145,19/1/21,9,21,0.278,21.23,30.086,CL044_20,4/11/20,29/12/20,NA,C,23,0.153,19.209,23.835,0.188,8.5,6.4,0.188,0,55
